company,name,salary_top,salary_bottom,field,education,skills
company 6,job 64,8836.535128426043,5783.592828140661,['internship'],['masters'],"['Fishing & Aquaculture', 'Management', 'Other', 'All Administration & Office Support ', 'Other']"
company 6,job 65,5375.204537582468,1476.5865986426863,['full time'],['apprenticeship'],"['Nursing - Community, Maternal & Child Health', 'Bakers & Pastry Chefs']"
company 6,job 66,6642.439073166829,3407.3214697783383,['apprenticeship'],['MBA'],['Management']
company 6,job 67,9467.77386110937,5056.97850314086,['part time'],['PhD'],"['Planning & Scheduling', 'Analysis & Reporting', 'Records Management & Document Control', 'Maintenance']"
company 6,job 68,4459.3280650173965,2098.5543497812655,['part time'],['tertiary'],"['Management', 'Management Accounting & Budgeting', 'Settlements']"
company 6,job 69,8931.616901575655,415.32269962407776,['internship'],['apprenticeship'],"['Mining - Exploration & Geoscience', 'All Engineering ', 'Aviation Services', 'Internal Communications', 'Natural Resources & Water']"
company 7,job 70,8868.004657199373,5294.907472251571,['internship'],['apprenticeship'],"['Environmental, Earth & Geosciences', 'Bakers & Pastry Chefs', 'Dental ', 'Recruitment - Internal']"
company 7,job 71,8220.174456976692,7943.328656887958,['part time'],['tertiary'],"['Contracts Management', 'Kitchen & Sandwich Hands', 'Other', 'Rail & Maritime Transport', 'Project Engineering']"
company 7,job 72,3804.5950638942572,3708.4413296359544,['full time'],['MBA'],"['Environment & Planning Law', 'Pattern Makers & Garment Technicians', 'Internal Communications', 'Remuneration & Benefits', 'Assembly & Process Work']"
company 7,job 73,5784.685662875156,2834.0285718934642,['full time'],['PhD'],"['Sales Representatives/Consultants ', 'Database Development & Administration', 'All Design & Architecture', 'Contracts Management']"
company 7,job 74,2409.9708467436467,1162.9443253399807,['apprenticeship'],['secondary'],"['Graphic Design', 'Customer Service - Call Centre']"
company 7,job 75,7500.630986234229,982.0428741616904,['apprenticeship'],['apprenticeship'],['Nursing - Aged Care ']
company 7,job 76,7758.9241457301705,7612.133897546823,['part time'],['PhD'],"['Nursing - Aged Care ', 'Banking - Business', 'Collections']"
company 7,job 77,8224.224428783156,1285.601097005974,['full time'],['secondary'],"['Property Law', 'Accounts Officers/Clerks']"
company 7,job 78,6493.909416578391,4835.208208268089,['internship'],['tertiary'],"['Farm Labour', 'Claims', 'Residential Leasing & Property Management', 'Fashion & Textile Design']"
company 7,job 79,8999.7611508078,3875.9377813838914,['part time'],['secondary'],"['Waiting Staff', 'Management - Area/Multi-site', 'Treasury']"
company 8,job 80,6178.795943181644,50.550037087249144,['full time'],['tertiary'],"['Analysis & Reporting', 'Emergency Services', 'Nannies & Babysitters', 'Residents & Registrars', 'Administrative Assistants ']"
company 8,job 81,4947.037609998236,167.8701600797805,['internship'],['secondary'],"['Purchasing, Procurement & Inventory', 'Conservation, Parks & Wildlife']"
company 8,job 82,9380.494384590429,48.03651639447959,['apprenticeship'],['secondary'],"['Criminal & Civil Law', 'Nursing - Community, Maternal & Child Health', 'All Real Estate & Property ', 'Policy']"
company 8,job 83,9600.159320321027,7848.924406537983,['full time'],['tertiary'],"['Butchers', 'Other', 'Veterinary Services & Animal Welfare', 'Customer Service - Call Centre']"
company 8,job 84,1824.9700981118833,654.9981246055559,['apprenticeship'],['PhD'],"['Engineering - Hardware', 'Sales']"
company 8,job 85,6446.679685018867,61.758398675729744,['full time'],['tertiary'],"['Housing & Homelessness Services', 'Architects', 'Ambulance/Paramedics', 'All Human Resources & Recruitment ']"
company 8,job 86,1375.0586786372255,1354.895083642278,['apprenticeship'],['none'],"['Gardening & Landscaping', 'Other', 'Field Engineering', 'Accounts Officers/Clerks']"
company 8,job 87,6431.339113153651,3901.996112471744,['full time'],['apprenticeship'],"['All Banking & Financial Services ', 'Biotechnology & Genetics', 'Claims', 'Residential Leasing & Property Management', 'Urban Design & Planning']"
company 8,job 88,1613.3538918414902,812.097685101969,['casual'],['tertiary'],"['Natural Therapies & Alternative Medicine', 'Bakers & Pastry Chefs']"
company 8,job 89,6712.888597457493,22.741902745143648,['full time'],['masters'],"['Mining - Operations', 'Coaching & Instruction', 'Modelling & Simulation', 'Fitters, Turners & Machinists', 'Telecommunications']"
company 9,job 90,7204.195496597941,4912.6577617160465,['part time'],['masters'],"['Teaching Aides & Special Needs', 'Mining - Processing', 'Plumbers', 'Locksmiths']"
company 9,job 91,8234.889604355109,1062.9523864880375,['apprenticeship'],['PhD'],"['Business/Systems Analysts', 'Inventory & Fixed Assets', 'Rail & Maritime Transport', 'Other', 'Claims']"
company 9,job 92,7940.835262891412,122.47535729413616,['part time'],['PhD'],"['Management - Internal', 'Fund Administration', 'Gaming']"
company 9,job 93,8525.004509077704,5782.18866972411,['part time'],['tertiary'],"['Pickers & Packers', 'Welders & Boilermakers ', 'Retail Assistants ']"
company 9,job 94,8508.096778401088,2897.335827169938,['part time'],['MBA'],"['Nursing - Theatre & Recovery', 'Fitters, Turners & Machinists']"
company 9,job 95,8765.829192091394,1517.23894975607,['apprenticeship'],['apprenticeship'],"['Retail & Property Development', 'Natural Therapies & Alternative Medicine']"
company 9,job 96,7602.827067293107,6527.169602150371,['internship'],['masters'],"['Architects', 'Customer Service - Call Centre', 'Emergency Services', 'Residents & Registrars']"
company 9,job 97,9519.448836544756,737.9395982646187,['apprenticeship'],['masters'],"['Financial Planning', 'Family Law']"
company 9,job 98,5846.522041490219,1329.0769074653974,['part time'],['PhD'],"['Recruitment - Internal', 'Clinical/Medical Research', 'Butchers', 'Security Services', 'Board Appointments']"
company 9,job 99,6689.758118773292,5773.6233783487105,['apprenticeship'],['secondary'],"['Housekeeping', 'Law Clerks & Paralegals', 'Engineering - Network', 'Sales - Pre & Post', 'All Healthcare & Medical ']"
company 10,job 100,6669.0875585689255,3559.2365434709404,['part time'],['masters'],"['Locksmiths', 'Navy', 'Recruitment - Internal', 'Management']"
company 10,job 101,1384.0828361943836,747.5692781733522,['full time'],['MBA'],"['Management & Support', 'Banking & Finance Law']"
company 10,job 102,9473.40836353461,2832.8780063373506,['full time'],['masters'],"['Other', 'Analysis & Reporting']"
company 10,job 103,179.74292501077292,172.5344768133996,['full time'],['masters'],['Pattern Makers & Garment Technicians']
company 10,job 104,3903.8920746973104,1637.0020928052586,['casual'],['PhD'],"['Mining - Processing', 'Mining - Operations', 'Other', 'All Consulting & Strategy', 'Commercial Sales, Leasing & Property Mgmt']"
company 10,job 105,6827.163816165857,5533.633733796618,['apprenticeship'],['tertiary'],['Other']
company 10,job 106,9637.388405393956,2612.122917850016,['casual'],['secondary'],['Audit - External']
company 10,job 107,1730.997685538529,1629.249539195946,['part time'],['MBA'],['Sales Representatives/Consultants ']
company 10,job 108,8146.746709086675,7856.865731817869,['full time'],['PhD'],"['Industrial Design', 'Nursing - High Acuity', 'Navy']"
company 10,job 109,7096.697304630362,5379.920295454269,['internship'],['PhD'],"['Quality Assurance & Control', 'Welders & Boilermakers ', 'Technical Writing', 'Mortgages']"
company 11,job 110,7758.313579718824,6524.630043376492,['part time'],['secondary'],"['Pattern Makers & Garment Technicians', 'Retail Assistants ', 'Analysis & Reporting', 'Merchandisers', 'Recruitment - Agency']"
company 11,job 111,5686.479231871121,1254.7540657233424,['full time'],['tertiary'],"['Materials Sciences', 'Purchasing, Procurement & Inventory', 'Occupational Health & Safety', 'Fashion & Textile Design']"
company 11,job 112,4901.647629611384,3110.178292872894,['full time'],['none'],['Indigenous & Multicultural Services']
company 11,job 113,7839.311024481936,7150.439246747169,['full time'],['secondary'],"['Event Management', 'Management - Area/Multi-site', 'Oil & Gas - Engineering & Maintenance', 'Mathematics, Statistics & Information Sciences']"
company 11,job 114,7674.402024370064,1751.5152223518348,['casual'],['masters'],"['Brand Management', 'Financial Accounting & Reporting']"
company 11,job 115,5237.364721988713,4787.5397268890865,['apprenticeship'],['none'],"['Butchers', 'Automotive Trades ', 'Mining - Processing']"
company 11,job 116,6452.052502759412,4773.822088304519,['part time'],['MBA'],"['Government - State ', 'Management Accounting & Budgeting', 'Computer Operators']"
company 11,job 117,7811.463068401069,6580.846330635825,['casual'],['PhD'],"['Chiropractic & Osteopathic', 'Architecture', 'Other']"
company 11,job 118,4459.527171999286,3484.3263708029203,['full time'],['masters'],"['Event Management', 'Childcare & Outside School Hours Care ', 'Management - Agency', 'Management ']"
company 11,job 119,5262.329917076118,2068.41454561828,['part time'],['masters'],"['Management', 'Mining - Processing', 'Food Technology & Safety', 'CEO', 'Management']"
company 12,job 120,9436.157048832543,1185.2699242308995,['internship'],['secondary'],"['Administration', 'Gaming', 'Mechanical Engineering', 'Brokerage']"
company 12,job 121,7582.964008173851,7401.365950866868,['full time'],['apprenticeship'],"['Architectural Drafting', 'Public Relations & Corporate Affairs', 'Nursing - Community, Maternal & Child Health', 'Remuneration & Benefits']"
company 12,job 122,6836.437336842024,5461.084829510414,['casual'],['PhD'],"['Payroll', 'Account & Relationship Management']"
company 12,job 123,3167.639488413516,168.61108962864745,['full time'],['masters'],['All Hospitality & Tourism ']
company 12,job 124,8198.487369277611,7588.326898082765,['internship'],['MBA'],"['COO & MD', 'PA, EA & Secretarial']"
company 12,job 125,9793.063527121825,6389.0289036976965,['apprenticeship'],['secondary'],['Contracts Management']
company 12,job 126,566.4717197849367,407.205793890284,['internship'],['MBA'],"['Corporate Finance & Investment Banking', 'All Science & Technology', 'Management - Vocational']"
company 12,job 127,7326.08608234795,5582.206899405878,['apprenticeship'],['MBA'],"['Printing & Publishing Services', 'Insolvency & Corporate Recovery']"
company 12,job 128,7359.558954141357,4667.1490912642475,['casual'],['secondary'],"['Risk Consulting', 'Client Services', 'Oil & Gas - Exploration & Geoscience', 'Urban Design & Planning', 'Residents & Registrars']"
company 12,job 129,8151.299796385063,5860.8754718581,['part time'],['MBA'],"['Materials Sciences', 'Other', 'Management', 'Project Management', 'All Community Services & Development ']"
company 13,job 130,6132.459196331297,2513.9672917361345,['internship'],['MBA'],"['Brand Management', 'Automotive Engineering', 'Consultants', 'Reservations', 'Student Services']"
company 13,job 131,9193.434471073411,8043.8003949840395,['apprenticeship'],['secondary'],"['Ambulance/Paramedics', 'Other', 'Promotions', 'Other', 'Commercial Sales, Leasing & Property Mgmt']"
company 13,job 132,6812.333126934342,1344.671212073244,['apprenticeship'],['tertiary'],"['Assistant Accountants', 'Teaching - Early Childhood']"
company 13,job 133,9609.149774104619,689.3073474802492,['internship'],['PhD'],"['Developers/Programmers ', 'Childcare & Outside School Hours Care ', 'Nursing - Paediatric & PICU']"
company 13,job 134,8726.983148567133,1502.427532905738,['internship'],['secondary'],"['Project Management', 'All Sales ', 'Engineering - Hardware', 'All Government & Defence ', 'Materials Handling Engineering']"
company 13,job 135,1989.3688212696136,1108.654112217483,['apprenticeship'],['masters'],"['Consulting & Generalist HR', 'Natural Resources & Water', 'Management Accounting & Budgeting', 'Residential Leasing & Property Management', 'Other']"
company 13,job 136,8065.767561250187,758.5464770398564,['internship'],['tertiary'],"['Telecommunications', 'Other', 'Housing & Homelessness Services', 'Compliance & Risk']"
company 13,job 137,4732.972503635287,684.9331533063496,['part time'],['PhD'],"['All Engineering ', 'Housekeeping', 'Nursing - Management']"
company 13,job 138,8003.874671268833,1391.4037173128047,['apprenticeship'],['PhD'],"['Cost Accounting', 'All Accounting ']"
company 13,job 139,5871.88742633244,5568.730436119429,['part time'],['apprenticeship'],"['Health, Safety & Environment']"
company 14,job 140,5714.69355836106,295.0733639003855,['apprenticeship'],['tertiary'],"['General Practitioners', 'Environmental, Earth & Geosciences', 'Database Development & Administration']"
company 14,job 141,2372.428963241128,1404.7117972578405,['casual'],['apprenticeship'],"['Programme & Project Management', 'Locksmiths', 'Other', 'Nursing - Theatre & Recovery']"
company 14,job 142,8945.75497025407,7303.1220135914455,['full time'],['tertiary'],"['Mining - Operations', 'Graphic Design']"
company 14,job 143,8704.287995661294,5865.414697434814,['full time'],['apprenticeship'],"['Occupational Health & Safety', 'Fashion & Textile Design', 'Volunteer Coordination & Support', 'Internal Communications']"
company 14,job 144,4021.7194999233798,1287.6507227073453,['full time'],['MBA'],"['Other', 'Generalists - Law Firm', 'Contracts Administration', 'Modelling & Simulation', 'Criminal & Civil Law']"
company 14,job 145,7103.301240260274,2617.2424152398576,['full time'],['tertiary'],['Management']
company 14,job 146,7219.160299724823,5680.961873417681,['apprenticeship'],['secondary'],['Collections']
company 14,job 147,5859.654742770427,2833.3379885824784,['casual'],['MBA'],"['Farm Management', 'Buying', 'Analysis & Reporting', 'Plant & Machinery Operators ']"
company 14,job 148,6709.711556263318,409.5759675638888,['full time'],['none'],"['Treasury', 'Public Transport & Taxi Services', 'Reservations', 'Account & Relationship Management']"
company 14,job 149,7348.418169187336,149.07674283033523,['internship'],['MBA'],"['Payroll', 'Other', 'Teaching Aides & Special Needs', 'Developers/Programmers ', 'All Hospitality & Tourism ']"
company 15,job 150,5434.257037713523,4443.495346171128,['full time'],['apprenticeship'],"[""Workers' Compensation""]"
company 15,job 151,8204.831050850265,6952.835385119252,['full time'],['secondary'],"['Front Office & Guest Services', 'Sales Coordinators', 'Other', 'Settlements', 'Police & Corrections']"
company 15,job 152,6192.632390771254,2675.9400023106095,['part time'],['apprenticeship'],"['All CEO & General Management', 'Web & Interaction Design', 'All Farming, Animals & Conservation ', 'Engineering Drafting']"
company 15,job 153,8496.214744968502,7637.9259886199725,['internship'],['PhD'],"['Farm Labour', 'Engineering Drafting', 'All Marketing & Communications ', 'Recruitment - Internal']"
company 15,job 154,3243.501157575912,1356.2784752433333,['part time'],['PhD'],['Oil & Gas - Exploration & Geoscience']
company 15,job 155,9534.821744390561,8897.256131031118,['part time'],['tertiary'],"['Generalists - In-house', 'Financial Planning', 'Nursing - Aged Care ']"
company 15,job 156,9588.25614764087,690.6011755076958,['apprenticeship'],['none'],['Law Clerks & Paralegals']
company 15,job 157,7736.882343901945,1718.5623242358329,['apprenticeship'],['secondary'],"['Nursing - General Medical & Surgical', 'Supervisors']"
company 15,job 158,4525.940722286165,460.63701209482224,['apprenticeship'],['PhD'],"['Nursing - A&E, Critical Care & ICU']"
company 15,job 159,6150.362745413398,267.8344462208349,['internship'],['apprenticeship'],"['Board Appointments', 'Air Conditioning & Refrigeration', 'Internal Communications']"
company 16,job 160,1916.9881251514464,317.5812768727293,['casual'],['none'],"['All Healthcare & Medical ', 'Corporate Finance & Investment Banking', 'Winery & Viticulture', 'Bakers & Pastry Chefs']"
company 16,job 161,6880.989049407061,2247.790323065433,['apprenticeship'],['PhD'],['Risk Consulting']
company 16,job 162,4482.604534900281,4454.408342290146,['apprenticeship'],['masters'],"['Banking - Business', 'Other']"
company 16,job 163,5594.9736428456945,4574.564256607625,['full time'],['PhD'],"['Maintenance & Handyperson Services', 'Laboratory & Technical Services', 'Pickers & Packers', 'Welders & Boilermakers ']"
company 16,job 164,6254.336574124783,4594.050770786578,['apprenticeship'],['PhD'],"['Automotive Trades ', 'Quality Assurance & Control']"
company 16,job 165,8636.392737709006,106.20663799013718,['part time'],['none'],['Sales - Pre & Post']
company 16,job 166,9601.345412621724,3342.7071696677444,['internship'],['apprenticeship'],['Criminal & Civil Law']
company 16,job 167,5879.902399095818,294.0578490583323,['part time'],['tertiary'],"['Other', 'Residents & Registrars', 'Biological & Biomedical Sciences']"
company 16,job 168,8992.87525526308,4229.152968843679,['apprenticeship'],['masters'],"['Aviation Services', 'Other', 'Systems Engineering', 'Stockbroking & Trading']"
company 16,job 169,8398.584637425673,5273.632491796939,['full time'],['none'],['Quality Assurance & Control']
company 17,job 170,7328.976203424031,3296.1015473035236,['casual'],['MBA'],"['Corporate Development', 'Internal Communications', 'Sales Representatives/Consultants ', 'Security', 'Residents & Registrars']"
company 17,job 171,8300.594441539017,5109.454674127342,['full time'],['secondary'],"['Community Services & Development', 'Other', 'Public Relations & Corporate Affairs']"
company 17,job 172,882.0317876480522,313.099956659495,['full time'],['PhD'],"['Other', 'Valuation', 'Child Welfare, Youth & Family Services ', 'Nursing - General Medical & Surgical']"
company 17,job 173,8954.965641508883,2730.491700405354,['internship'],['PhD'],"['Fitters, Turners & Machinists']"
company 17,job 174,7654.159968507822,6724.589826673297,['casual'],['apprenticeship'],"['Training & Development', 'Fitness & Personal Training', 'Air Force', 'Horticulture']"
company 17,job 175,9286.84550147864,1715.5921897737646,['full time'],['MBA'],"['Client & Sales Administration', 'Construction Law', 'Chemistry & Physics']"
company 17,job 176,6673.025749712205,2763.03662943732,['full time'],['none'],['Stockbroking & Trading']
company 17,job 177,9625.975391725455,5085.567103873956,['apprenticeship'],['apprenticeship'],"['Criminal & Civil Law', 'Workplace Training & Assessment', 'Claims']"
company 17,job 178,7919.271945089917,409.48732735371806,['part time'],['masters'],"['Management - Department/Assistant', 'Management - Schools', 'All Engineering ', 'Teaching - Secondary', 'Organisational Development']"
company 17,job 179,2344.5869657162543,1724.1661985254386,['part time'],['PhD'],"['Management - Internal', 'Legal Secretaries', 'Systems Accounting & IT Audit']"
company 18,job 180,1514.3816554661494,101.88431541060194,['casual'],['tertiary'],"['Import/Export & Customs', 'Intellectual Property Law', 'Indigenous & Multicultural Services', 'Nursing - Management', 'Corporate Development']"
company 18,job 181,9654.725645784578,1951.0476733099335,['casual'],['apprenticeship'],['Inventory & Fixed Assets']
company 18,job 182,7060.487153461342,392.3947907598624,['casual'],['secondary'],"['Database Development & Administration', 'Welders & Boilermakers ']"
company 18,job 183,9988.903679033374,7974.900591276498,['full time'],['none'],"['All Mining, Resources & Energy ', 'Business/Systems Analysts', 'Other', 'Psychology, Counselling & Social Work ']"
company 18,job 184,6272.161168467224,45.28746854644772,['part time'],['MBA'],"['Corporate & Commercial Law', 'All Sales ', 'Health, Safety & Environment', 'Farm Labour', 'Electricians ']"
company 18,job 185,4970.159185644525,3711.4675469442927,['internship'],['none'],"['Police & Corrections', 'Generalists - Law Firm', 'Management ']"
company 18,job 186,7466.938910642731,1147.626925710491,['casual'],['apprenticeship'],"['Other', 'Management - Universities', 'Cleaning Services', 'Management', 'Customer Service - Call Centre']"
company 18,job 187,9686.02859299564,5842.100428666329,['apprenticeship'],['secondary'],"['Field Engineering', 'All Advertising, Arts & Media', 'Engineering - Software']"
company 18,job 188,7461.642359730071,2704.956802598083,['casual'],['none'],"['Marketing Communications', 'Mechanical Engineering', 'Programming & Production', 'Engineering Drafting', 'Production, Planning & Scheduling']"
company 18,job 189,6917.47917481625,719.6288570192511,['full time'],['MBA'],"['Hair & Beauty Services ', 'Import/Export & Customs', 'All Human Resources & Recruitment ']"
