company,name,salary_top,salary_bottom,type,education,latitude,longitude,skills,description
company 1,job 10,1944.12824909716,1844.6036702021852,casual,masters,-33.82707506489351,150.9620409048265,"['Nannies & Babysitters', 'Farm Management', 'Fund Administration']","NairiSoft is looking for a highly qualified person
with deep knowledge and practical experience in Web programming. The
selected candidate will be involved in all stages of the development
life cycle."
company 1,job 11,6939.769915178678,6165.511825552009,internship,secondary,-33.83329838564775,151.11329778502,"['Winery & Viticulture', 'Risk Consulting']","The Business Consultant/ Project Manager will develop
business plans, investment programs and provide other business advisory
services. S/he will report to the Project Manager."
company 1,job 12,7932.437260606751,5438.257003257013,part time,secondary,-33.76591081375581,151.3451516925896,"['Purchasing, Procurement & Inventory', 'Help Desk & IT Support', 'Management', 'Police & Corrections', 'Sales Coordinators']","The incumbent will be responsible for coordination of
Sales and Service Department, building trustful relations with customers,
and meeting or exceeding assigned targets by appropriately representation
of the companys services."
company 1,job 13,8746.350821369711,6456.966322377928,casual,none,-33.926414184953444,151.2616341020122,"['Automotive Engineering', 'Pickers & Packers', 'Building Services Engineering']","As a Front-End Developer, the main responsibility of
the incumbent will be the production, modification and maintenance of the
website and web applications user interfaces. This involves working
closely with designers and server-side developers to implement their
server-side code in order to develop complex, interactive and
database-driven websites."
company 1,job 14,6457.085117369122,1549.0110604544282,internship,masters,-33.68367803098689,150.9711564846218,"['Marketing Communications', 'Digital & Search Marketing']","Synopsys Armenia - SG is seeking for an R&D Engineer
II to be engaged in software design and development."
company 1,job 15,2908.0985903254295,1854.7769278565286,casual,secondary,-33.73467133593205,151.48670115503253,['Fleet Management'],"CBA is seeking an Economist-Statistician to be
responsible for elaboration and development of sample survey
methodologies conducted by the Statistics Department."
company 1,job 16,3890.9218707860414,2282.9876450870947,internship,postgraduate,-33.73812801621854,151.29639388697703,"['Recruitment - Internal', 'Event Management', 'Customer Service - Customer Facing']","PA Government Services Inc. (PA) is accepting
expressions of interest from qualified candidates to work for the
on-going USAID funded South Caucasus Water Program. The goal of this
program is to increase regional cooperation in the management of shared
water resources of the Khrami-Debed and Alazani River Basins. The
program has a termination date of September 2008. For more information
on the program visit www.scaucasuswater.org"
company 1,job 17,4043.4650978873797,2187.482968862765,part time,none,-33.8543118116173,151.33021063323775,"['Oil & Gas - Production & Refinement', 'All Banking & Financial Services ', 'Power Generation & Distribution']","Under the guidance and direct supervision of the
Deputy Resident Representative, the Programme Management Specialist is
responsible for the overall management and coordination of the UNDP
programming activities in the context and with particular focus on its
synergy with the MYFF priorities, Atlas functioning and other corporate
programmatic tools and priorities. The Programme Management Specialist
is responsible for supervising Portfolio Atlas Associates. He/she works
in close collaboration with the National Portfolio Directors and
Implementing Partners, Portfolio Coordinators, Portfolio Atlas
Associates, Operations Team, programme staff in other UN Agencies, UNDP
HQs staff, multi-lateral and bi-lateral donors and civil society."
company 1,job 18,9632.792206284474,6259.474639710968,part time,PhD,-33.82543377956874,151.1718528105233,"['Government - Local ', 'Surveying', 'Management', 'Front Office & Guest Services']","Next Armenia is seeking a Chief Accountant to carry out
the organization's accounting maintenance and the reports' drafting."
company 1,job 19,6394.956722677567,5844.304365731109,casual,masters,-34.04769284157537,151.34757926307233,"['Engineering - Hardware', 'Credit', 'Audit - External']","UNDP Armenia is looking for a Local Expert to work in a
team with the International Consultant and provide necessary inputs
throughout the process of establishment of NP for DRR in Armenia and
elaboration of national DRR Strategy; in this context, provide advice in
achieving objective of the required services and assist in a range of
activities related to the establishment of a National Platform for DRR
and elaboration of a National DRR strategy. Local Expert will work under
direct supervision of and report to the UNDP Project Coordinator."
company 2,job 20,3600.556674257086,1792.2238886534615,casual,secondary,-33.652392682924635,151.4217772526528,"['Employment Services', 'Other', 'Analysts', 'Self Employment']","The incumbent should manage and implement scheduled
promotion campaigns and other marketing events, as ordered by Ameria
Group companies."
company 2,job 21,9467.545298531955,7058.610956353628,apprenticeship,masters,-33.91388403048828,150.87760825616195,"['Business/Systems Analysts', 'Management ']","The ARSPIU SI is looking for a Consultant. The
objective of the assignment is to prepare the Implementation Completion
Report (ICR) of the RESCAD project."
company 2,job 22,7049.141775409171,6458.99007694879,apprenticeship,postgraduate,-33.96889937631893,151.03935483514604,"['Emergency Services', 'Water & Waste Engineering', 'Sales - Pre & Post', 'All Community Services & Development ', 'Couriers, Drivers & Postal Services']","Armenian Development Bank is inviting qualified
professionals to fulfill the position of Loan and Investments Department
Specialist that will be responsible for data monitoring and analysis."
company 2,job 23,7157.962606956866,93.26520827502405,casual,tertiary,-33.89262633273047,151.52290502028814,"['Other', 'Office Management']","We are looking for a qualified developer with
practical experience in Web programming."
company 2,job 24,7649.461510687447,6786.969182702414,part time,PhD,-33.84634831256244,151.42298582765784,"['Retail Assistants ', 'All Farming, Animals & Conservation ', 'Banking & Finance Law', 'Management']","The Project Coordinator will organize project
activities, compile and coordinate information on project implementation,
keep in touch with LSGBs of target communities and Community Active
Groups (CAGs) and provide consultancy and support to target communities.
The incumbent will do other ongoing work in ""NGO Center""."
company 2,job 25,4594.489250748043,685.6872953945847,casual,tertiary,-33.9664346285034,151.02519000117283,"['Corporate Finance & Investment Banking', 'Sales Coordinators', 'Settlements']","Reporting to the Medical Coordinator and supervised
directly by the Pharmacy Supervisor, the Pharmacist will work
collaboratively to ensure the effective and efficient operation of the
MSF Central Pharmacy in Yerevan and assist with provision of pharmacy
support to nursing staff in tuberculosis (TB) cabinets where MSF is
working (Yerevan and marzes).
The position is based in Yerevan with periodic trips to the marzes."
company 2,job 26,4755.090197728494,1742.3087933680724,casual,postgraduate,-33.84634606315802,150.928909075635,"['Quality Assurance & Control', 'All Retail & Consumer Products ']","The incumbent will handle pawn shop transactions,
receive and pay out money from/ to customers and apply them to the
appropriate database, fill out necessary paperwork. He/ she will keep
records of money, take payments, answer customer inquiries."
company 2,job 27,7070.034784929945,5037.819688882773,internship,secondary,-33.98659339724605,151.15805300143356,"['Management', 'Quality Assurance & Control', 'Modelling & Simulation']","The Child and Family Support Program Manager will be
responsible for the development of psycho-social portfolio of COAF
programs in beneficiary communities, and management of its
implementation. The incumbent will supervise the program team, as well as
service providers in target communities. He/ she will be responsible for
maintaining collaborative work relationships with all stakeholders
including local and national authorities, NGOs, parents, children and
ensure coordination of the program's interventions in partnership with
all program stakeholders.
The incumbent will have frequent trips to the regions of the Republic of
Armenia."
company 2,job 28,6545.11502615179,207.78036296168256,part time,postgraduate,-33.729806285244976,151.18222586307144,"['Speech Therapy', 'Assembly & Process Work', 'All Education & Training ']","Under the overall supervision of the Language Center
Director the Language Instructor will develop and conduct language
classes."
company 2,job 29,9063.57195442409,2244.242884785955,internship,secondary,-34.05844020533233,151.43428161278237,['Brokerage'],"The incumbent will assist in maintaining financial
records by preparing accounting reports and statements, reconciling
accounts, and processing/ reviewing journal entries and vouchers."
company 3,job 30,7057.1358184574865,3593.17582212768,part time,secondary,-33.78894606689096,151.3001011289471,"['Chemical Engineering', 'Dieticians', 'Accounts Payable', 'Teaching - Early Childhood', 'Consulting & Strategy']","Monitis is looking for a Digital Marketing Specialist
who will successfully join the marketing team in the development and
execution of various projects, including regular and occasion-based
marketing campaigns, design projects, customer satisfaction analysis,
product development and service promotions, lead generation and
nurturing."
company 3,job 31,8877.533714797013,2142.6226353842503,full time,tertiary,-33.82747745355806,151.26525649884655,"['Art Direction', 'All Sales ', 'Database Development & Administration']","The primary objective of this position is to ensure
consistency of infrastructural tools and processes being used within
Product Development."
company 3,job 32,7777.12648555934,4891.500416208449,full time,tertiary,-33.66078556278513,151.43722467365689,"['Teaching - Secondary', 'All Advertising, Arts & Media', 'Employment Services', 'Freight/Cargo Forwarding']","French University in Armenia is looking for a
qualified specialist to teach the subject of Statistics in its three
faculties (Trade, Law & Management)."
company 3,job 33,9299.64665112066,8260.988388273803,casual,tertiary,-33.85890388920008,151.09730954480779,"['Generalists - In-house', 'All Information & Communication Technology ', 'Consulting & Generalist HR', 'Claims', 'Business/Systems Analysts']","In this position the selected candidate will support
the global Email Marketing team. This area requires support in the
planning and realization of global email campaign along the user
lifecycle of the company."
company 3,job 34,5815.965006927755,2414.2960712416193,internship,none,-33.66183921031082,151.00084297810662,"['Child Welfare, Youth & Family Services ', 'Welders & Boilermakers ', 'Chefs/Cooks ', 'Nursing - Paediatric & PICU']","The main responsibility of the Insurance Consultant
will be sales and support of the insurance products."
company 3,job 35,7437.0862564744175,2216.0527864951564,apprenticeship,tertiary,-33.821638837177,151.3303600608823,"['Event Management', 'Superannuation', 'Biological & Biomedical Sciences']","Cascade Insurance Insurance CSJC, is looking for a
motivated, proactive candidate for the position of Administrative
Assistant. This position requires punctuality and excellent
communication skills. Candidate must have the ability to adapt and
respond to rapidly changing situations quickly."
company 3,job 36,5773.024975859722,1874.3035849717949,part time,tertiary,-34.033919055660384,150.98384941521238,"['Claims', 'Corporate & Commercial Law', 'Technical Writing', 'All Retail & Consumer Products ', 'Environmental Services']","The incumbent will be responsible for the management
and supervision of current activities of the Branch."
company 3,job 37,6330.205545205743,3785.474972013911,apprenticeship,PhD,-34.11071692216341,151.29862897848145,"['Environment & Sustainability Consulting', 'Systems Engineering']","Energize Global Services is looking for experienced C
Software Developers with good knowledge of Java and Python to be engaged
in different long term projects. Within a software development team, the
successful candidates will be responsible for a significant part of the
development cycle of applications: understanding of the requirements,
performing the functional analysis, the design, the programming and
testing of software solutions. The C Software Developers will participate
in the development of different software applications for various
markets. The successful candidates will work for 3 months in Brussels for
both help and getting trained."
company 3,job 38,8795.733037365768,5158.999256763976,part time,tertiary,-34.035892702666075,151.41154174035682,['Technical Writing'],"ArmenTel is looking for candidates to fulfill the
position of Fixed Assets Specialist."
company 3,job 39,9701.110319096571,1896.3376830963596,apprenticeship,masters,-33.83667326177196,151.50878920137583,"['Building Services Engineering', 'All Trades & Services ', 'Testing & Quality Assurance', 'Management', 'Analysis & Reporting']","Fund ""Kamurj"" is currently looking to recruit a Loan
Promoter for its Sisian branch."
company 4,job 40,8973.028580461181,6742.008630359556,apprenticeship,none,-34.02491629805719,150.949184855614,['Buying'],"English Language Interpreters/ Translators will work
in the framework of its project in Gegharkunik Marz, Access to Health
Care."
company 4,job 41,3767.1074625659194,3761.500941121637,internship,secondary,-33.90876968802479,150.8934663080349,"['Biotechnology & Genetics', 'Nannies & Babysitters', 'Administration', 'Risk Consulting', 'Mining - Operations']","KPMG Armenia is seeking an Audit Assistant who
performs his/her work under the direction and supervision of
supervisors. The incumbent is required to attain prescribed levels of
skills in his/her service area."
company 4,job 42,9071.013483617256,3130.4222800407333,apprenticeship,secondary,-33.924635824090636,151.5219490853285,['Developers/Programmers '],"The PR & Marketing Manager will be responsible for
design, implementation and monitoring of specific action plan based on
the corporate Marketing and PR Strategy."
company 4,job 43,5663.582827904977,429.90111677590704,apprenticeship,masters,-34.091278402622265,151.34617494514825,['Foreperson/Supervisors'],"The PicsArt is looking for a smart and motivated Junior
QA Engineer/ Intern for developing quality of the mobile applications."
company 4,job 44,9927.860542958591,8619.9186016114,casual,secondary,-33.884540625980385,151.190324844278,"['Medical Administration', 'Settlements']","The Company is looking for motivated, self-driven young
professionals to join Ameria's team. This role offers opportunities to
gain exposure to consulting, analysis and researching."
company 4,job 45,9304.926195239063,6738.135728307984,apprenticeship,postgraduate,-33.91204891240031,151.3991330061135,"['Management', 'Sales', 'Government - State ']","The role requires dedicated and responsible Software
Architect professionals that will apply the latest technologies for
solving challenging tasks with the Lycos architecture team. Lycos
Armenia is seeking candidates with good experience in Object oriented
design and programming."
company 4,job 46,3511.545806656109,501.40746441850956,apprenticeship,masters,-33.74898560176969,150.89483297195636,"['Agronomy & Farm Services', 'Nursing - A&E, Critical Care & ICU']","The incumbent will be responsible for issuance and
service of plastic cards."
company 4,job 47,3715.8946035178774,3304.928278222219,internship,masters,-33.772531469782066,151.18246602704724,"['Sales Coordinators', 'Team Leaders/Supervisors', 'Mathematics, Statistics & Information Sciences', 'Technicians ']","UNIDO CIIC (Center for International Industrial
Cooperation) is looking for a suitable candidate for the position of
National Expert in Textile and Garment Production and Quality Systems/
Technologist: circular knits and knitted articles of UNIDO CIIC."
company 4,job 48,9955.184007552862,6786.023492159778,internship,secondary,-33.99439501815093,151.020988351913,"['Compliance & Risk', 'Other']",N/ A
company 4,job 49,9088.488903797985,7263.052218254568,casual,masters,-33.716927958466535,151.02194728943735,"['Pattern Makers & Garment Technicians', 'Agency Account Management', 'Generalists - In-house']","AltaCode Ltd. is looking for highly qualified and
motivated software developers with deep knowledge and practical
experience in object oriented programming and web development."
company 5,job 50,9435.324980340292,2901.136198059201,internship,postgraduate,-33.85948384706048,151.54259093653232,"['Architectural Drafting', 'Project Engineering']","The Senior C++ Engineer will participate in the
development of a multiplatform Client application."
company 5,job 51,9602.29809348728,7540.315142926905,internship,tertiary,-33.62248424441285,151.18773358624074,"['Sales - Pre & Post', 'All Information & Communication Technology ', 'All Trades & Services ', 'Client Services', 'Insolvency & Corporate Recovery']","We are looking for dynamic and creative ESL/ TOEFL/
TWE/ TSE instructors willing  to teach written and spoken English to
Armenian nurses and help them master TOEFL/ TWE/ TSE exam taking skills."
company 5,job 52,9292.99214117757,7083.3025156295025,casual,none,-33.84627198587644,151.5411703126277,"['Management - Universities', 'Generalists - Law Firm']","AtTask is looking for a Customer Support Representative
to work in Customer Support Department at Yerevan office. The incumbent
will primarily have responsibility for resolving customer issues,
including troubleshooting installations, application and database issues,
project management training, etc. The primary objective of the role is to
help develop an outstanding customer support department in an
employee-oriented, high performance company culture that emphasizes
superior quality, continuous improvement and productivity standards. This
role requires a proactive and results oriented individual with the
ability to work on assigned tasks, as well as independently identify
other value-add activities."
company 5,job 53,4573.851475258029,305.6531755251346,casual,postgraduate,-33.92474828784577,150.9230707482848,"['Environment & Planning Law', 'All Healthcare & Medical ', 'Health, Safety & Environment', 'Industrial & Employee Relations']","The incumbent will be responsible for IT reporting and
data warehouse development, configuration and maintenance."
company 5,job 54,6577.240888193018,3300.092266533806,part time,none,-33.78957346151141,151.34041696116938,"['Other', 'Nursing - Aged Care ']","The incumbent will be responsible for the preparation,
execution, and summary of subdivision audits; further investigations,
situational analyses, and advisory support during audits, as well as for
making trips to branches in RA regions, if required."
company 5,job 55,8985.67625384519,8566.021753261142,internship,postgraduate,-33.882205333851374,151.54451985793153,"['Body Corporate & Facilities Management', 'Sales', 'Teaching Aides & Special Needs']","Barents Group is looking for a qalified Systems
Administrator to work on above mentioned projects IT system's support,
including the installation and maintenance of systems at counterpart
locations."
company 5,job 56,6760.461900035327,4121.6150564651025,apprenticeship,PhD,-33.87246526585642,151.3071299818609,"['Risk Consulting', 'Compliance & Risk']","The incumbent will be responsible for selecting media
for advertisement placement on behalf of his/ her clients."
company 5,job 57,3848.1743308754735,954.1011165559498,casual,secondary,-33.662564641826954,151.39241081011318,['Business Services & Corporate Advisory'],"The Team Lead is responsible for design and development
of highly performing and scalable web applications that meet the business
requirements. This person will be a key member of Web Application
Development & Design team and will play a major role in the development
life-cycle, including requirements gathering, design, development and
documentation."
company 5,job 58,7354.687946294124,2676.7846227706436,internship,PhD,-34.06063825201412,151.35314128671828,"['Other', 'Tailors & Dressmakers', 'Residential Leasing & Property Management']","Armenian Development Bank is inviting highly qualified
professionals to fulfill the position of Non-Cash Operations Department
Specialist."
company 5,job 59,8942.541876938152,8860.683918043429,casual,secondary,-33.85932727314231,151.5587521310553,"['Airlines', 'All Science & Technology', 'Management - Universities', 'Public Relations & Corporate Affairs']","The Project Officer (PO) will be responsible for
organizing and coordination of programmatic activities in target
communities. The POs role will be to support Program Manager in ensuring
achievement of program objectives, monitoring of activities on the ground
and provision of technical support to communities and stakeholders
involved. The PO will also be responsible for assuring the high quality
of program in accordance with Save the Childrens policies and
procedures. This person will be responsible for mobilization of community
leaders, service providers and local authorities as well as for
maintaining collaborative working relationships and coordination with all
parties involved."
company 6,job 60,5723.685878689309,391.2258550184733,full time,masters,-33.73389482632614,151.02730339334954,"['Insurance & Superannuation Law', 'Waiting Staff', 'Mathematics, Statistics & Information Sciences', 'Natural Therapies & Alternative Medicine', ""Workers' Compensation""]","Esculap LLC in Armenia is looking for a self-motivated
person for the position of a Medical Representative who will combine
excellent interpersonal and organizational skills."
company 6,job 61,9001.799936516092,6560.692931381922,full time,secondary,-33.87873262185013,151.38279240817513,"['Chiropractic & Osteopathic', 'Fitness & Personal Training', 'Help Desk & IT Support']","The primary objective of this position is the
development and maintenance of wide range of automated tests like
functional, regression, stress, load, performance, etc. to test and
ensure the quality of Sonics products."
company 6,job 62,8332.255774567404,7068.820876581832,apprenticeship,tertiary,-33.82899634340753,151.18931652060033,['Project Management'],"The Virtual Solution Global Services LLC is seeking a
motivated Java Developer for Web based applications development."
company 6,job 63,8602.198851697678,7988.382607858435,apprenticeship,PhD,-33.73008397624783,151.31250109704746,"['Dieticians', 'Teaching - Primary', 'Actuarial', 'Sales - Outbound']","The ideal candidate will be an experienced Business
Intelligence Engineer that demonstrates in-depth knowledge and
understanding of data warehousing and business intelligence with emphasis
on reporting and data analytic issues through the development life
cycle.The incumbent should be  open-minded and flexible personality
prepared to work in a very dynamic environment, supporting multiple
business units with operational reporting requests required."
company 6,job 64,8612.00741788227,5888.453453057626,internship,masters,-34.11209913157619,151.25455786309078,['Sales Representatives/Consultants '],"The OSCE Office in Yerevan invites applications from
highly qualified, energetic and experienced Armenian professionals for
the post of National Programme Co-ordinator of the Economic and
Environmental Unit at the Office of Programme Implementation Presence in
Syunik region, Kapan city.
Under the supervision of the Economic-Environmental Officer the incumbent
shall organize and co-ordinate the operations and manage the activities
of the OSCE Office in Yerevan Programme Implementation Presence Office in
Syunik region of the Republic of Armenia. This includes strategy and
policy work as well as full project cycle management. S/he shall
independently conduct research and analyze on socio-economic and
political situation in Syunik region. The incumbent shall represent the
OSCE Office in Yerevan to all internal and external stakeholders,
national and local government officials, representatives of civil society
and private sector in Syunik region as well as work closely with all
stakeholders to provide project updates, discuss strategies, obstacles,
performance plans and overall progress. The incumbent shall lead and
oversee a staff to develop and implement the OSCE Office in Yerevan
programmes in Syunik region."
company 6,job 65,9752.251612396545,4853.38700269423,internship,postgraduate,-34.045297892410574,151.34320019498293,['All Retail & Consumer Products '],"Chamber of Advocates and ABA/CEELI announce 30
volunteer positions as Monitors for the Qualification Examination for
Advocates to be held on Saturday, August 25. The Monitors will be
responsible for observing candidates during the examination period and
assisting with other tasks as determined by ABA/CEELI and the Chamber of
Advocates. The Monitors will be expected to work from 8:00 a.m. to 16:00
p.m. on August 25 at Yerevan State University."
company 6,job 66,7518.169054171993,5332.27321632653,internship,none,-33.81479366568284,151.19695192122268,"['Airlines', 'Water & Waste Engineering', 'Teaching Aides & Special Needs', ""Workers' Compensation"", 'Product Management & Development']","Hall Manager will be in charge of organization of
current operations in each storey of the mall. The incumbent will also be
responsible for reporting, organization and supervision of everyday
operations in the hall."
company 6,job 67,2589.543210558507,1798.1063242131845,casual,secondary,-33.83541238098407,151.12508726596735,['Financial Managers & Controllers'],"The Pharmacist will be responsible for all aspects of
pharmacy operations within their store including inventory, personnel
and security with emphasis on customer relations. The individual
responsibilities are shared equally by all Pharmacists within the store."
company 6,job 68,6787.762332452265,3782.881499392745,apprenticeship,tertiary,-33.888688629333316,151.09825573302734,"['Conservation, Parks & Wildlife', 'Mining - Exploration & Geoscience', 'Taxation', 'Analysts']","NairiSoft Inc. is seeking an experienced Software
Quality Assurance Specialist to join its team."
company 6,job 69,5749.46813858008,309.1064232254659,full time,none,-33.64251527040859,151.36166157482137,"['Management - Schools', 'Nursing - Paediatric & PICU', 'Corporate Development', 'Collections', 'Promotions']","To provide programme and policy work and technical
input in the small business development programme."
company 7,job 70,8092.342375005121,4314.147687303488,full time,masters,-33.94490640142572,151.4798585864353,"['Valuation', 'Trade Marketing']","Mega Food LLC announces a vacancy for Import Officer
who will be responsible for managing all the processes related to
importing of goods and materials."
company 7,job 71,5779.381331596237,4772.495243642904,full time,none,-34.01646230314482,151.2748269083452,"['Butchers', 'COO & MD', 'Other', 'Pickers & Packers']","Under the supervision of the FAA Board, the incumbent
is responsible for day-to-day management, co-ordination and oversight of
the FAA program activities and support systems, manages and advises on
all administrative and financial operations of the FAA, converting
operational strategies into coordinated action plans with activities,
deliverables and action plans in line with the FAAs mission and
objectives."
company 7,job 72,4811.610252871847,4104.070607453502,casual,none,-33.75932078624686,150.93676627532574,"['Medical Administration', 'Underwriting']","Smart-Tech is seeking for a Software Developer who
will be engaged in software design and development using C++, C#."
company 7,job 73,7346.42262086939,1397.3306916610052,part time,tertiary,-33.98307185970827,151.22409612918324,"['Mining - Exploration & Geoscience', 'Management', 'Landscape Architecture', 'Testing & Quality Assurance']","Senior QA Engineer will mainly be responsible for
automation and improvement of software testing process."
company 7,job 74,3460.985609996644,71.01271633184636,full time,tertiary,-33.76291653908158,151.51363343813054,"['Computer Operators', 'Teaching - Secondary']","The Company is seeking a specialist who is strongly
familiar with Oracle, to maintain and develop databases."
company 7,job 75,633.8925762365544,269.44446803243704,full time,postgraduate,-33.98875931620301,151.2003129129562,"['All Real Estate & Property ', 'All Human Resources & Recruitment ', 'Environment & Planning Law', 'Nursing - A&E, Critical Care & ICU']","Serve as an intermediary in sphere of real estate
market."
company 7,job 76,4825.107868692628,3581.009984209218,full time,masters,-33.78485922359956,151.50871072337537,"['Management', 'Optical']","A challenging opportunity has arisen for up to 3
developers/administrators to join our creative, professional and
multinational environment at Lycos Europe, involved in the design and
implementation of customer support related functionality (Change
Requests, Enhancements). The successful candidates should have ideally
some experience with workflow based or ticketing applications or
customer management tools (e.g. Remedy, Clarify, Siebel). The positions
will be mainly office based with occasional visits to our premise in
Gtersloh/Germany, if necessary to work with business representatives
during the design phase, deliver solutions and provide upgrades where
necessary/appropriate. These roles require extensive and ongoing
training. Thus, you are expected to be enthusiastic to learn and either
to travel to training sites in the UK or Sweden or to join on-site
trainings in Yerevan."
company 7,job 77,4684.853219822717,2961.0904476404985,part time,secondary,-33.97746653211798,151.2105766212318,"['Management', 'Performing Arts']",Publishing the Armenian Trends quarterly periodical
company 7,job 78,4210.190873281445,3988.77538105452,apprenticeship,tertiary,-33.932269752046025,151.28465247212554,"['Welders & Boilermakers ', 'Other', 'Air Conditioning & Refrigeration', 'Journalism & Writing', 'All Engineering ']","The incumbent will be responsible for back-end and
front-end web development."
company 7,job 79,8746.166571498825,6896.609943688134,apprenticeship,tertiary,-34.08934510747838,151.24280033384665,"['Management', 'Management', 'Health, Safety & Environment', 'Credit']","The UNHCR Office in Yerevan currently has the
above-mentioned vacancy available and invites qualifying candidates to
apply."
company 8,job 80,5449.650335829727,4752.125856652776,part time,masters,-34.100780806591764,151.2573637490521,"['Aviation Services', 'Bar & Beverage Staff']",Monitis GFI is looking for User Experience Specialist.
company 8,job 81,5329.661869072723,2388.797961636505,part time,masters,-33.912160058421584,151.08450652949855,"['Public Transport & Taxi Services', ""Workers' Compensation"", 'Gardening & Landscaping', 'Legal Practice Management']","Numetrics Armenia is looking for a Statistical Modeler
who will be responsible for creation of statistical models, design and
interpretation of data analysis. S/he will produce analytic reports,
related to integrated circuit and embedded software project, to be used
in decision-making. The Modeler, individually or under supervision of
senior specialists, will be responsible for drawing analytic results and
interpretations, including predictive models/ forecasts, and applying
standard statistical tests and/or machine learning techniques."
company 8,job 82,8513.36727601777,1098.993258323182,part time,secondary,-33.74502345053385,151.39545324724583,"['Compliance & Risk', 'Public Transport & Taxi Services', 'All Hospitality & Tourism ', 'Architecture']","Cambric Services LLC is seeking a Chief Accountant to
organize and implement all financial and accounting activities,
supervise all bank and cash transactions,
prepare monthly payroll, monthly and quarterly reports to HQ, budget
control reports, prepare and submit tax reports."
company 8,job 83,4039.8378352451723,2405.0039605832953,part time,none,-34.01940850666273,151.16466382545545,['Law Clerks & Paralegals'],"ProCredit Bank CJSC is now selecting candidates for its
10th Young Bankers Programme. The Programme is a six-month theoretical
and practical training programme for potential employees of ProCredit
Bank. It is the sole entry point for employment with ProCredit Bank. The
Young Bankers Programme is a comprehensive and intensive introduction to
the theory and practice of banking and finance from a responsible
perspective. It provides a unique opportunity for participants and for
ProCredit to gauge whether candidates aptitudes and personal qualities
fit with the special ProCredit way of working.
The programme provides:
- Theoretical knowledge in Banking and Finance;
- Practical on-the-job training/ experience in the bank;
- An opportunity to learn appropriate skills for communicating with
clients and colleagues;
- Group and individual projects; 
- A real opportunity to secure future employment upon successful
completion of all parts of the programme;
- An opportunity for professional growth;
- An introduction to ProCredit Banks culture and values;
- A monthly stipend, paid for the duration of the programme."
